        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.75000000e+01,        +1.414213562373e-01,        +2.463925768285e-01,        +4.037051066270e-02,        +3.189999067477e-02,        -6.769927929713e-02,        +1.414213562373e-01,        +3.189999067477e-02,        -6.769927929713e-02,        +2.469620335247e-01,        +3.994413641787e-02
 2.80000000e+01,        +1.414213562373e-01,        +2.478918673214e-01,        +3.912481643343e-02,        +3.027374097745e-02,        -6.698128318321e-02,        +1.414213562373e-01,        +3.027374097745e-02,        -6.698128318321e-02,        +2.484647796815e-01,        +3.867418758908e-02
 2.85000000e+01,        +1.414213562373e-01,        +2.493461449780e-01,        +3.784464669943e-02,        +2.868959225876e-02,        -6.623113818580e-02,        +1.414213562373e-01,        +2.868959225876e-02,        -6.623113818580e-02,        +2.499219386495e-01,        +3.736943866277e-02
 2.90000000e+01,        +1.414213562373e-01,        +2.507552889436e-01,        +3.653186577036e-02,        +2.714760600702e-02,        -6.545076871145e-02,        +1.414213562373e-01,        +2.714760600702e-02,        -6.545076871145e-02,        +2.513333839756e-01,        +3.603176913511e-02
 2.95000000e+01,        +1.414213562373e-01,        +2.521192386067e-01,        +3.518828512202e-02,        +2.564778134992e-02,        -6.464204704882e-02,        +1.414213562373e-01,        +2.564778134992e-02,        -6.464204704882e-02,        +2.526990498963e-01,        +3.466300534604e-02
 3.00000000e+01,        +1.414213562373e-01,        +2.534379893728e-01,        +3.381566327802e-02,        +2.419005922064e-02,        -6.380679324922e-02,        +1.414213562373e-01,        +2.419005922064e-02,        -6.380679324922e-02,        +2.540189270773e-01,        +3.326492035550e-02
 3.05000000e+01,        +1.414213562373e-01,        +2.547115886286e-01,        +3.241570586129e-02,        +2.277432633215e-02,        -6.294677517863e-02,        +1.414213562373e-01,        +2.277432633214e-02,        -6.294677517863e-02,        +2.552930585437e-01,        +3.183923399115e-02
 3.10000000e+01,        +1.414213562373e-01,        +2.559401318914e-01,        +3.099006579836e-02,        +2.140041896221e-02,        -6.206370872402e-02,        +1.414213562373e-01,        +2.140041896221e-02,        -6.206370872402e-02,        +2.565215357979e-01,        +3.038761305019e-02
 3.15000000e+01,        +1.414213562373e-01,        +2.571237591433e-01,        +2.954034366039e-02,        +2.006812655237e-02,        -6.115925813775e-02,        +1.414213562373e-01,        +2.006812655237e-02,        -6.115925813775e-02,        +2.577044951218e-01,        +2.891167163946e-02
 3.20000000e+01,        +1.414213562373e-01,        +2.582626513439e-01,        +2.806808812619e-02,        +1.877719512444e-02,        -6.023503650513e-02,        +1.414213562373e-01,        +1.877719512444e-02,        -6.023503650513e-02,        +2.588421140597e-01,        +2.741297163874e-02
