        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 6.50000000e+00,        +6.968292968690e-13,        +6.035143664771e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.787012909616e-13,        +6.032452953652e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +7.099732881616e-13,        +5.977068000076e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.925470962897e-13,        +5.974366426428e-12,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e+00,        +7.245930815754e-13,        +5.916842362835e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.078793494196e-13,        +5.914149404168e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +7.405071521530e-13,        +5.854573652899e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.245206208574e-13,        +5.851897589538e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e+00,        +7.575644504807e-13,        +5.790391432320e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.423214906976e-13,        +5.787734715338e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +7.756362928606e-13,        +5.724440259918e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.611534287023e-13,        +5.721803226446e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e+00,        +7.946107654446e-13,        +5.656873873751e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.809039351775e-13,        +5.654256703105e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +8.143888113084e-13,        +5.587850651160e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.014730450176e-13,        +5.585254120624e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e+01,        +8.348814769208e-13,        +5.517530115513e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.227707686088e-13,        +5.514955733517e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +8.560079602914e-13,        +5.446070315602e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.447152187320e-13,        +5.443520207404e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+01,        +8.776942114294e-13,        +5.373625906452e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.672312411238e-13,        +5.371102641329e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +8.998719130583e-13,        +5.300346775626e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.902494086551e-13,        +5.297853211599e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+01,        +9.224777243377e-13,        +5.226377086178e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.137052742037e-13,        +5.223916253201e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +9.454527080876e-13,        +5.151854635691e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.375388063022e-13,        +5.149429656023e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+01,        +9.687418874659e-13,        +5.076910454848e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.616939539532e-13,        +5.074524492606e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +9.922938950887e-13,        +5.001668587558e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.861183032317e-13,        +4.999324819027e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+01,        +1.016060688992e-12,        +4.926246008493e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.010762799696e-12,        +4.923947606324e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +1.039997317527e-12,        +4.850752644228e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.035581518517e-12,        +4.848502770519e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+01,        +1.064061720545e-12,        +4.775291471835e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.060531469639e-12,        +4.773093276645e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +1.088214557801e-12,        +4.699958674634e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.085572429021e-12,        +4.697815297665e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+01,        +1.112419058078e-12,        +4.624843839313e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.110666789560e-12,        +4.622758413309e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +1.136640884238e-12,        +4.550030182102e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.135779427105e-12,        +4.548005837062e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+01,        +1.160848010725e-12,        +4.475594794456e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.160877578209e-12,        +4.473634662116e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +1.185010610909e-12,        +4.401608900856e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.185930727180e-12,        +4.399716119140e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+01,        +1.209100952340e-12,        +4.328138123044e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.210910500602e-12,        +4.326315840321e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +1.233093298460e-12,        +4.255242746393e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.235790567985e-12,        +4.253494125449e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+01,        +1.256963815662e-12,        +4.182977985113e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.260546547536e-12,        +4.181306206842e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +1.280690484890e-12,        +4.111394243914e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.285155916276e-12,        +4.109802510702e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.05000000e+01,        +1.304253017127e-12,        +4.040537374304e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.309597923947e-12,        +4.039028913166e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +1.327632772320e-12,        +3.970448924295e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.333853510271e-12,        +3.969026989760e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.15000000e+01,        +1.350812681368e-12,        +3.901166380594e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.357905225235e-12,        +3.899834257400e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +1.373777170916e-12,        +3.832723402730e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.381737152173e-12,        +3.831484408332e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.25000000e+01,        +1.396512090753e-12,        +3.765150048712e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.405334833449e-12,        +3.764007535665e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +1.419004643674e-12,        +3.698472992063e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.428685198633e-12,        +3.697430350267e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.35000000e+01,        +1.441243317691e-12,        +3.632715730121e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.451776495056e-12,        +3.631776388992e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +1.463217820529e-12,        +3.567898783661e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.474598220688e-12,        +3.567066214208e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.45000000e+01,        +1.484919016347e-12,        +3.504039887895e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.497141059295e-12,        +3.503317604754e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +1.506338864651e-12,        +3.441154175008e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.519396817827e-12,        +3.440545738423e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.55000000e+01,        +1.527470361372e-12,        +3.379254348381e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541358366034e-12,        +3.378763366159e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +1.548307482086e-12,        +3.318350848710e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.563019578277e-12,        +3.317980978156e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.65000000e+01,        +1.568845127365e-12,        +3.258452012217e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.584375277525e-12,        +3.258206962053e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +1.589079070250e-12,        +3.199564221176e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605421181527e-12,        +3.199447753467e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.75000000e+01,        +1.609005905819e-12,        +3.141692046993e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.626153851140e-12,        +3.141707979068e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+01,        +1.628623002848e-12,        +3.084838386053e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.646570640802e-12,        +3.084990592445e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.85000000e+01,        +1.647928457535e-12,        +3.029004588586e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.666669651126e-12,        +3.029297002985e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +1.666921049274e-12,        +2.974190580785e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.686449683595e-12,        +2.974627198017e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.95000000e+01,        +1.685600198455e-12,        +2.920394980403e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.705910197331e-12,        +2.920979858434e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +1.703965926246e-12,        +2.867615206078e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.725051267915e-12,        +2.868352468058e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.05000000e+01,        +1.722018816346e-12,        +2.815847580621e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.743873548205e-12,        +2.816741416964e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +1.739759978655e-12,        +2.765087428492e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.762378231136e-12,        +2.766142099002e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.15000000e+01,        +1.757191014827e-12,        +2.715329167709e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.780567014453e-12,        +2.716549003753e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +1.774313985667e-12,        +2.666566396413e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.798442067318e-12,        +2.667955803154e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.25000000e+01,        +1.791131380322e-12,        +2.618791974318e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.816005998777e-12,        +2.620355433007e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +1.807646087212e-12,        +2.571998099274e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.833261827996e-12,        +2.573740169609e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.35000000e+01,        +1.823861366663e-12,        +2.526176379162e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.850212956253e-12,        +2.528101701721e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +1.839780825178e-12,        +2.481317899341e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.866863140606e-12,        +2.483431198093e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.45000000e+01,        +1.855408391308e-12,        +2.437413285858e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.883216469191e-12,        +2.439719370756e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +1.870748293041e-12,        +2.394452764632e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.899277338104e-12,        +2.396956534303e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.55000000e+01,        +1.885805036694e-12,        +2.352426216814e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.915050429792e-12,        +2.355132661343e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +1.900583387212e-12,        +2.311323230533e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.930540692918e-12,        +2.314237434349e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.65000000e+01,        +1.915088349856e-12,        +2.271133149198e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.945753323626e-12,        +2.274260294080e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +1.929325153192e-12,        +2.231845116578e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.960693748161e-12,        +2.235190484769e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.75000000e+01,        +1.943299233361e-12,        +2.193448118813e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.975367606792e-12,        +2.197017096264e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +1.957016219553e-12,        +2.155931023552e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.989780738973e-12,        +2.159729103296e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.85000000e+01,        +1.970481920638e-12,        +2.119282616376e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.003939169698e-12,        +2.123315402047e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +1.983702312921e-12,        +2.083491634689e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.017849097004e-12,        +2.087764844181e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.95000000e+01,        +1.996683528948e-12,        +2.048546799212e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.031516880554e-12,        +2.053066268495e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +2.009431847335e-12,        +2.014436843257e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.044949031279e-12,        +2.019208530357e-12,        +0.000000000000e+00,        +0.000000000000e+00
