        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 4.50000000e+00,        +1.414213562373e-01,        +1.509273995336e-01,        +1.343526582689e-02,        +1.312482874474e-01,        -1.700448198899e-02,        +1.414213562373e-01,        +1.312482874474e-01,        -1.700448198899e-02,        +1.509595046282e-01,        +1.349534506718e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.513636408570e-01,        +1.487513047054e-02,        +1.307765774399e-01,        -1.879075196025e-02,        +1.414213562373e-01,        +1.307765774399e-01,        -1.879075196025e-02,        +1.514006421463e-01,        +1.494003918330e-02
 5.50000000e+00,        +1.414213562373e-01,        +1.518427375106e-01,        +1.629766424916e-02,        +1.302650084073e-01,        -2.056088365285e-02,        +1.414213562373e-01,        +1.302650084073e-01,        -2.056088365285e-02,        +1.518849206975e-01,        +1.636730005892e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.523635214218e-01,        +1.770152394221e-02,        +1.297137819560e-01,        -2.231353115875e-02,        +1.414213562373e-01,        +1.297137819560e-01,        -2.231353115875e-02,        +1.524112310352e-01,        +1.777576677064e-02
 6.50000000e+00,        +1.414213562373e-01,        +1.529248309283e-01,        +1.908548035144e-02,        +1.291233614483e-01,        -2.404739656229e-02,        +1.414213562373e-01,        +1.291233614483e-01,        -2.404739656229e-02,        +1.529784418486e-01,        +1.916417134665e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.535255059023e-01,        +2.044840125375e-02,        +1.284943956217e-01,        -2.576125577664e-02,        +1.414213562373e-01,        +1.284943956217e-01,        -2.576125577664e-02,        +1.535853978761e-01,        +2.053134307177e-02
 7.50000000e+00,        +1.414213562373e-01,        +1.541643857501e-01,        +2.178924200409e-02,        +1.278276649494e-01,        -2.745397057774e-02,        +1.414213562373e-01,        +1.278276649494e-01,        -2.745397057774e-02,        +1.542309298492e-01,        +2.187620864606e-02
 8.00000000e+00,        +1.414213562373e-01,        +1.548403100642e-01,        +2.310703969966e-02,        +1.271240420462e-01,        -2.912449218832e-02,        +1.414213562373e-01,        +1.271240420462e-01,        -2.912449218832e-02,        +1.549138649719e-01,        +2.319778594656e-02
 8.50000000e+00,        +1.414213562373e-01,        +1.555521210861e-01,        +2.440090853235e-02,        +1.263844623149e-01,        -3.077185945556e-02,        +1.414213562373e-01,        +1.263844623149e-01,        -3.077185945556e-02,        +1.556330338624e-01,        +2.449517559901e-02
 9.00000000e+00,        +1.414213562373e-01,        +1.562986669725e-01,        +2.567003523375e-02,        +1.256099024485e-01,        -3.239519411303e-02,        +1.414213562373e-01,        +1.256099024485e-01,        -3.239519411303e-02,        +1.563872746907e-01,        +2.576755322959e-02
 9.50000000e+00,        +1.414213562373e-01,        +1.570788051072e-01,        +2.691367431286e-02,        +1.248013647781e-01,        -3.399369482308e-02,        +1.414213562373e-01,        +1.248013647781e-01,        -3.399369482308e-02,        +1.571754359745e-01,        +2.701416297332e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.578914050306e-01,        +2.813114313337e-02,        +1.239598658521e-01,        -3.556663092184e-02,        +1.414213562373e-01,        +1.239598658521e-01,        -3.556663092184e-02,        +1.579963788035e-01,        +2.823431189205e-02
 1.05000000e+01,        +1.414213562373e-01,        +1.587353508055e-01,        +2.932181697095e-02,        +1.230864280745e-01,        -3.711333629904e-02,        +1.414213562373e-01,        +1.230864280745e-01,        -3.711333629904e-02,        +1.588489787048e-01,        +2.942736491763e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.596095427751e-01,        +3.048512418749e-02,        +1.221820735905e-01,        -3.863320360239e-02,        +1.414213562373e-01,        +1.221820735905e-01,        -3.863320360239e-02,        +1.597321271352e-01,        +3.059274011886e-02
 1.15000000e+01,        +1.414213562373e-01,        +1.605128987433e-01,        +3.162054162900e-02,        +1.212478198595e-01,        -4.012567885001e-02,        +1.414213562373e-01,        +1.212478198595e-01,        -4.012567885001e-02,        +1.606447325635e-01,        +3.172990423471e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.614443546385e-01,        +3.272759032276e-02,        +1.202846765177e-01,        -4.159025648811e-02,        +1.414213562373e-01,        +1.202846765177e-01,        -4.159025648811e-02,        +1.615857211316e-01,        +3.283836848617e-02
 1.25000000e+01,        +1.414213562373e-01,        +1.624028647380e-01,        +3.380583152191e-02,        +1.192936432352e-01,        -4.302647490889e-02,        +1.414213562373e-01,        +1.192936432352e-01,        -4.302647490889e-02,        +1.625540369233e-01,        +3.391768469941e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.633874015331e-01,        +3.485486312436e-02,        +1.182757083408e-01,        -4.443391242919e-02,        +1.414213562373e-01,        +1.182757083408e-01,        -4.443391242919e-02,        +1.635486418882e-01,        +3.496744176990e-02
 1.35000000e+01,        +1.414213562373e-01,        +1.643969553120e-01,        +3.587431647523e-02,        +1.172318480379e-01,        -4.581218372047e-02,        +1.414213562373e-01,        +1.172318480379e-01,        -4.581218372047e-02,        +1.645685154858e-01,        +3.598726248482e-02
 1.40000000e+01,        +1.414213562373e-01,        +1.654305335310e-01,        +3.686385354868e-02,        +1.161630260654e-01,        -4.716093667240e-02,        +1.414213562373e-01,        +1.161630260654e-01,        -4.716093667240e-02,        +1.656126541108e-01,        +3.697680070812e-02
 1.45000000e+01,        +1.414213562373e-01,        +1.664871600389e-01,        +3.782316449515e-02,        +1.150701936894e-01,        -4.847984966561e-02,        +1.414213562373e-01,        +1.150701936894e-01,        -4.847984966561e-02,        +1.666800703632e-01,        +3.793573892038e-02
 1.50000000e+01,        +1.414213562373e-01,        +1.675658742093e-01,        +3.875196553222e-02,        +1.139542899298e-01,        -4.976862922472e-02,        +1.414213562373e-01,        +1.139542899298e-01,        -4.976862922472e-02,        +1.677697922168e-01,        +3.886378609693e-02
 1.55000000e+01,        +1.414213562373e-01,        +1.686657300277e-01,        +3.964999715290e-02,        +1.128162419467e-01,        -5.102700801934e-02,        +1.414213562373e-01,        +1.128162419467e-01,        -5.102700801934e-02,        +1.688808621353e-01,        +3.976067590083e-02
 1.60000000e+01,        +1.414213562373e-01,        +1.697857951716e-01,        +4.051702262157e-02,        +1.116569655235e-01,        -5.225474317882e-02,        +1.414213562373e-01,        +1.116569655235e-01,        -5.225474317882e-02,        +1.700123361742e-01,        +4.062616516316e-02
 1.65000000e+01,        +1.414213562373e-01,        +1.709251501144e-01,        +4.135282672674e-02,        +1.104773656002e-01,        -5.345161488615e-02,        +1.414213562373e-01,        +1.104773656002e-01,        -5.345161488615e-02,        +1.711632831022e-01,        +4.146003262105e-02
 1.70000000e+01,        +1.414213562373e-01,        +1.720828872772e-01,        +4.215721475932e-02,        +1.092783368183e-01,        -5.461742521677e-02,        +1.414213562373e-01,        +1.092783368183e-01,        -5.461742521677e-02,        +1.723327835657e-01,        +4.226207788268e-02
 1.75000000e+01,        +1.414213562373e-01,        +1.732581102458e-01,        +4.293001168604e-02,        +1.080607640488e-01,        -5.575199718910e-02,        +1.414213562373e-01,        +1.080607640488e-01,        -5.575199718910e-02,        +1.735199293163e-01,        +4.303212058912e-02
 1.80000000e+01,        +1.414213562373e-01,        +1.744499330645e-01,        +4.367106148889e-02,        +1.068255228824e-01,        -5.685517399589e-02,        +1.414213562373e-01,        +1.068255228824e-01,        -5.685517399589e-02,        +1.747238225128e-01,        +4.376999974412e-02
 1.85000000e+01,        +1.414213562373e-01,        +1.756574796153e-01,        +4.438022664362e-02,        +1.055734800673e-01,        -5.792681838707e-02,        +1.414213562373e-01,        +1.055734800673e-01,        -5.792681838707e-02,        +1.759435751076e-01,        +4.447557318449e-02
 1.90000000e+01,        +1.414213562373e-01,        +1.768798830858e-01,        +4.505738771233e-02,        +1.043054938858e-01,        -5.896681217802e-02,        +1.414213562373e-01,        +1.043054938858e-01,        -5.896681217802e-02,        +1.771783083202e-01,        +4.514871716624e-02
 1.95000000e+01,        +1.414213562373e-01,        +1.781162855263e-01,        +4.570244302781e-02,        +1.030224144626e-01,        -5.997505585908e-02,        +1.414213562373e-01,        +1.030224144626e-01,        -5.997505585908e-02,        +1.784271522011e-01,        +4.578932604359e-02
 2.00000000e+01,        +1.414213562373e-01,        +1.793658374957e-01,        +4.631530844955e-02,        +1.017250840041e-01,        -6.095146828534e-02,        +1.414213562373e-01,        +1.017250840041e-01,        -6.095146828534e-02,        +1.796892452823e-01,        +4.639731202089e-02
 2.05000000e+01,        +1.414213562373e-01,        +1.806276977910e-01,        +4.689591717400e-02,        +1.004143369691e-01,        -6.189598642806e-02,        +1.414213562373e-01,        +1.004143369691e-01,        -6.189598642806e-02,        +1.809637343131e-01,        +4.697260495941e-02
 2.10000000e+01,        +1.414213562373e-01,        +1.819010332571e-01,        +4.744421958377e-02,        +9.909100017187e-02,        -6.280856517146e-02,        +1.414213562373e-01,        +9.909100017187e-02,        -6.280856517146e-02,        +1.822497740760e-01,        +4.751515222386e-02
 2.15000000e+01,        +1.414213562373e-01,        +1.831850186702e-01,        +4.796018312274e-02,        +9.775589282295e-02,        -6.368917714117e-02,        +1.414213562373e-01,        +9.775589282295e-02,        -6.368917714117e-02,        +1.835465272759e-01,        +4.802491855514e-02
 2.20000000e+01,        +1.414213562373e-01,        +1.844788366892e-01,        +4.844379218620e-02,        +9.640982651137e-02,        -6.453781255264e-02,        +1.414213562373e-01,        +9.640982651137e-02,        -6.453781255264e-02,        +1.848531644982e-01,        +4.850188595842e-02
 2.25000000e+01,        +1.414213562373e-01,        +1.857816778672e-01,        +4.889504801678e-02,        +9.505360513384e-02,        -6.535447906973e-02,        +1.414213562373e-01,        +9.505360513384e-02,        -6.535447906973e-02,        +1.861688642269e-01,        +4.894605359713e-02
 2.30000000e+01,        +1.414213562373e-01,        +1.870927407178e-01,        +4.931396859873e-02,        +9.368802477673e-02,        -6.613920166546e-02,        +1.414213562373e-01,        +9.368802477673e-02,        -6.613920166546e-02,        +1.874928129181e-01,        +4.935743768528e-02
 2.35000000e+01,        +1.414213562373e-01,        +1.884112318275e-01,        +4.970058854462e-02,        +9.231387355656e-02,        -6.689202247846e-02,        +1.414213562373e-01,        +9.231387355656e-02,        -6.689202247846e-02,        +1.888242051197e-01,        +4.973607137210e-02
 2.40000000e+01,        +1.414213562373e-01,        +1.897363660092e-01,        +5.005495896969e-02,        +9.093193142481e-02,        -6.761300066011e-02,        +1.414213562373e-01,        +9.093193142481e-02,        -6.761300066011e-02,        +1.901622436328e-01,        +5.008200461418e-02
 2.45000000e+01,        +1.414213562373e-01,        +1.910673664904e-01,        +5.037714735026e-02,        +8.954296994275e-02,        -6.830221220829e-02,        +1.414213562373e-01,        +8.954296994275e-02,        -6.830221220829e-02,        +1.915061397064e-01,        +5.039530403139e-02
 2.50000000e+01,        +1.414213562373e-01,        +1.924034651283e-01,        +5.066723736379e-02,        +8.814775203165e-02,        -6.895974978498e-02,        +1.414213562373e-01,        +8.814775203165e-02,        -6.895974978498e-02,        +1.928551132616e-01,        +5.067605274422e-02
 2.55000000e+01,        +1.414213562373e-01,        +1.937439026485e-01,        +5.092532870860e-02,        +8.674703170343e-02,        -6.958572251558e-02,        +1.414213562373e-01,        +8.674703170343e-02,        -6.958572251558e-02,        +1.942083931376e-01,        +5.092435019037e-02
 2.60000000e+01,        +1.414213562373e-01,        +1.950879289011e-01,        +5.115153690236e-02,        +8.534155377660e-02,        -7.018025576876e-02,        +1.414213562373e-01,        +8.534155377660e-02,        -7.018025576876e-02,        +1.955652173552e-01,        +5.114031191990e-02
 2.65000000e+01,        +1.414213562373e-01,        +1.964348031291e-01,        +5.134599305875e-02,        +8.393205358176e-02,        -7.074349091602e-02,        +1.414213562373e-01,        +8.393205358176e-02,        -7.074349091602e-02,        +1.969248333937e-01,        +5.132406936810e-02
 2.70000000e+01,        +1.414213562373e-01,        +1.977837942456e-01,        +5.150884364245e-02,        +8.251925666061e-02,        -7.127558507089e-02,        +1.414213562373e-01,        +8.251925666061e-02,        -7.127558507089e-02,        +1.982864984754e-01,        +5.147576960633e-02
 2.75000000e+01,        +1.414213562373e-01,        +1.991341811158e-01,        +5.164025020262e-02,        +8.110387846213e-02,        -7.177671080799e-02,        +1.414213562373e-01,        +8.110387846213e-02,        -7.177671080799e-02,        +1.996494798552e-01,        +5.159557507115e-02
 2.80000000e+01,        +1.414213562373e-01,        +2.004852528401e-01,        +5.174038908582e-02,        +7.968662403917e-02,        -7.224705586240e-02,        +1.414213562373e-01,        +7.968662403917e-02,        -7.224705586241e-02,        +2.010130551111e-01,        +5.168366327234e-02
 2.85000000e+01,        +1.414213562373e-01,        +2.018363090353e-01,        +5.180945112912e-02,        +7.826818774808e-02,        -7.268682281040e-02,        +1.414213562373e-01,        +7.826818774808e-02,        -7.268682281040e-02,        +2.023765124324e-01,        +5.174022648099e-02
 2.90000000e+01,        +1.414213562373e-01,        +2.031866601112e-01,        +5.184764133466e-02,        +7.684925295417e-02,        -7.309622873234e-02,        +1.414213562373e-01,        +7.684925295417e-02,        -7.309622873234e-02,        +2.037391509039e-01,        +5.176547139857e-02
 2.95000000e+01,        +1.414213562373e-01,        +2.045356275414e-01,        +5.185517852685e-02,        +7.543049174492e-02,        -7.347550485900e-02,        +1.414213562373e-01,        +7.543049174492e-02,        -7.347550485900e-02,        +2.051002807822e-01,        +5.175961880847e-02
 3.00000000e+01,        +1.414213562373e-01,        +2.058825441240e-01,        +5.183229499357e-02,        +7.401256465289e-02,        -7.382489620270e-02,        +1.414213562373e-01,        +7.401256465289e-02,        -7.382489620270e-02,        +2.064592237641e-01,        +5.172290321125e-02
 3.05000000e+01,        +1.414213562373e-01,        +2.072267542332e-01,        +5.177923611290e-02,        +7.259612038999e-02,        -7.414466117442e-02,        +1.414213562373e-01,        +7.259612038999e-02,        -7.414466117442e-02,        +2.078153132431e-01,        +5.165557244513e-02
 3.10000000e+01,        +1.414213562373e-01,        +2.085676140579e-01,        +5.169625996666e-02,        +7.118179559427e-02,        -7.443507118839e-02,        +1.414213562373e-01,        +7.118179559427e-02,        -7.443507118839e-02,        +2.091678945548e-01,        +5.155788729315e-02
 3.15000000e+01,        +1.414213562373e-01,        +2.099044918282e-01,        +5.158363694236e-02,        +6.977021459045e-02,        -7.469641025559e-02,        +1.414213562373e-01,        +6.977021459045e-02,        -7.469641025559e-02,        +2.105163252080e-01,        +5.143012107850e-02
 3.20000000e+01,        +1.414213562373e-01,        +2.112367680278e-01,        +5.144164932495e-02,        +6.836198916507e-02,        -7.492897456752e-02,        +1.414213562373e-01,        +6.836198916507e-02,        -7.492897456752e-02,        +2.118599751027e-01,        +5.127255924949e-02
 3.25000000e+01,        +1.414213562373e-01,        +2.125638355910e-01,        +5.127059087977e-02,        +6.695771835676e-02,        -7.513307207155e-02,        +1.414213562373e-01,        +6.695771835676e-02,        -7.513307207155e-02,        +2.131982267317e-01,        +5.108549895565e-02
 3.30000000e+01,        +1.414213562373e-01,        +2.138851000854e-01,        +5.107076642814e-02,        +6.555798826247e-02,        -7.530902203937e-02,        +1.414213562373e-01,        +6.555798826247e-02,        -7.530902203937e-02,        +2.145304753675e-01,        +5.086924861621e-02
 3.35000000e+01,        +1.414213562373e-01,        +2.151999798784e-01,        +5.084249141688e-02,        +6.416337185968e-02,        -7.545715462966e-02,        +1.414213562373e-01,        +6.416337185968e-02,        -7.545715462966e-02,        +2.158561292330e-01,        +5.062412748260e-02
 3.40000000e+01,        +1.414213562373e-01,        +2.165079062874e-01,        +5.058609148304e-02,        +6.277442884506e-02,        -7.557781044638e-02,        +1.414213562373e-01,        +6.277442884506e-02,        -7.557781044638e-02,        +2.171746096559e-01,        +5.035046519592e-02
 3.45000000e+01,        +1.414213562373e-01,        +2.178083237151e-01,        +5.030190201509e-02,        +6.139170548955e-02,        -7.567134009379e-02,        +1.414213562373e-01,        +6.139170548955e-02,        -7.567134009379e-02,        +2.184853512060e-01,        +5.004860134093e-02
 3.50000000e+01,        +1.414213562373e-01,        +2.191006897667e-01,        +4.999026771168e-02,        +6.001573450998e-02,        -7.573810372930e-02,        +1.414213562373e-01,        +6.001573450998e-02,        -7.573810372930e-02,        +2.197878018172e-01,        +4.971888499753e-02
 3.55000000e+01,        +1.414213562373e-01,        +2.203844753534e-01,        +4.965154213911e-02,        +5.864703495702e-02,        -7.577847061537e-02,        +1.414213562373e-01,        +5.864703495702e-02,        -7.577847061537e-02,        +2.210814228917e-01,        +4.936167429097e-02
 3.60000000e+01,        +1.414213562373e-01,        +2.216591647774e-01,        +4.928608728847e-02,        +5.728611211936e-02,        -7.579281867129e-02,        +1.414213562373e-01,        +5.728611211936e-02,        -7.579281867129e-02,        +2.223656893893e-01,        +4.897733594176e-02
 3.65000000e+01,        +1.414213562373e-01,        +2.229242558034e-01,        +4.889427313350e-02,        +5.593345744389e-02,        -7.578153402593e-02,        +1.414213562373e-01,        +5.593345744389e-02,        -7.578153402593e-02,        +2.236400898993e-01,        +4.856624481622e-02
 3.70000000e+01,        +1.414213562373e-01,        +2.241792597130e-01,        +4.847647718994e-02,        +5.458954847160e-02,        -7.574501057223e-02,        +1.414213562373e-01,        +5.458954847160e-02,        -7.574501057223e-02,        +2.249041266973e-01,        +4.812878347870e-02
 3.75000000e+01,        +1.414213562373e-01,        +2.254237013447e-01,        +4.803308407734e-02,        +5.325484878875e-02,        -7.568364952432e-02,        +1.414213562373e-01,        +5.325484878875e-02,        -7.568364952432e-02,        +2.261573157864e-01,        +4.766534174622e-02
 3.80000000e+01,        +1.414213562373e-01,        +2.266571191186e-01,        +4.756448508398e-02,        +5.192980799310e-02,        -7.559785897797e-02,        +1.414213562373e-01,        +5.192980799310e-02,        -7.559785897797e-02,        +2.273991869232e-01,        +4.717631624635e-02
 3.85000000e+01,        +1.414213562373e-01,        +2.278790650471e-01,        +4.707107773562e-02,        +5.061486167466e-02,        -7.548805347515e-02,        +1.414213562373e-01,        +5.061486167466e-02,        -7.548805347515e-02,        +2.286292836291e-01,        +4.666210997898e-02
 3.90000000e+01,        +1.414213562373e-01,        +2.290891047316e-01,        +4.655326536886e-02,        +4.931043141051e-02,        -7.535465357321e-02,        +1.414213562373e-01,        +4.931043141051e-02,        -7.535465357321e-02,        +2.298471631871e-01,        +4.612313188273e-02
 3.95000000e+01,        +1.414213562373e-01,        +2.302868173447e-01,        +4.601145670950e-02,        +4.801692477336e-02,        -7.519808541938e-02,        +1.414213562373e-01,        +4.801692477336e-02,        -7.519808541938e-02,        +2.310523966249e-01,        +4.555979640663e-02
 4.00000000e+01,        +1.414213562373e-01,        +2.314717956007e-01,        +4.544606545656e-02,        +4.673473535314e-02,        -7.501878033110e-02,        +1.414213562373e-01,        +4.673473535314e-02,        -7.501878033110e-02,        +2.322445686851e-01,        +4.497252308740e-02
