        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 2.80000000e+01,        +8.029972176688e-13,        +2.750874723274e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.039167746313e-13,        +2.749768747514e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.85000000e+01,        +8.138434850659e-13,        +2.730007846919e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.152400623162e-13,        +2.728929314414e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+01,        +8.247297385060e-13,        +2.709110529715e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.266064784520e-13,        +2.708060780120e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.95000000e+01,        +8.356512328298e-13,        +2.688188864114e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.380111571436e-13,        +2.687169271336e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+01,        +8.466033087693e-13,        +2.667248848752e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.494493193102e-13,        +2.666260821065e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.05000000e+01,        +8.575813936584e-13,        +2.646296387496e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.609162735101e-13,        +2.645341367622e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +8.685810021772e-13,        +2.625337288408e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.724074167982e-13,        +2.624416753561e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.15000000e+01,        +8.795977371126e-13,        +2.604377262655e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.839182355949e-13,        +2.603492724561e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+01,        +8.906272901147e-13,        +2.583421923408e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.954443065487e-13,        +2.582574928295e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.25000000e+01,        +9.016654424380e-13,        +2.562476784746e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.069812973774e-13,        +2.561668913308e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+01,        +9.127080656517e-13,        +2.541547260589e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.185249676761e-13,        +2.540780127927e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.35000000e+01,        +9.237511223125e-13,        +2.520638663688e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.300711696804e-13,        +2.519913919233e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+01,        +9.347906665894e-13,        +2.499756204681e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.416158489781e-13,        +2.499075532088e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.45000000e+01,        +9.458228448343e-13,        +2.478904991222e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.531550451612e-13,        +2.478270108254e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+01,        +9.568438960950e-13,        +2.458090027210e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.646848924137e-13,        +2.457502685599e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.55000000e+01,        +9.678501525634e-13,        +2.437316212108e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.762016200305e-13,        +2.436778197404e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +9.788380399587e-13,        +2.416588340371e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.877015528650e-13,        +2.416101471775e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.65000000e+01,        +9.898040778418e-13,        +2.395911100976e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.991811117025e-13,        +2.395477231162e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+01,        +1.000744879860e-12,        +2.375289077076e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.010636813559e-12,        +2.374910091996e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.75000000e+01,        +1.011657153923e-12,        +2.354726745747e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.022065271903e-12,        +2.354404564435e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+01,        +1.022537702304e-12,        +2.334228477867e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.033463196805e-12,        +2.333965052226e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.85000000e+01,        +1.033383421676e-12,        +2.313798538090e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.044827395006e-12,        +2.313595852678e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+01,        +1.044191303075e-12,        +2.293441084944e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.056154769915e-12,        +2.293301156748e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.95000000e+01,        +1.054958431795e-12,        +2.273160171026e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.067442321535e-12,        +2.273085049234e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+01,        +1.065681987218e-12,        +2.252959743309e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.078687146313e-12,        +2.252951509080e-12,        +0.000000000000e+00,        +0.000000000000e+00
