        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.70000000e+01,        +7.071067811865e+00,        +8.604144363862e+00,        +2.107860737966e+00,        +5.463916840917e+00,        -2.730871260838e+00,        +7.071067811865e+00,        +5.463916840917e+00,        -2.730871260838e+00,        +8.616639178285e+00,        +2.113103894134e+00
 1.75000000e+01,        +7.071067811865e+00,        +8.662905512292e+00,        +2.146500584302e+00,        +5.403038202442e+00,        -2.787599859455e+00,        +7.071067811865e+00,        +5.403038202442e+00,        -2.787599859455e+00,        +8.675996465815e+00,        +2.151606029456e+00
 1.80000000e+01,        +7.071067811865e+00,        +8.722496653226e+00,        +2.183553074444e+00,        +5.341276144118e+00,        -2.842758699794e+00,        +7.071067811865e+00,        +5.341276144118e+00,        -2.842758699794e+00,        +8.736191125642e+00,        +2.188499987206e+00
 1.85000000e+01,        +7.071067811865e+00,        +8.782873980766e+00,        +2.219011332181e+00,        +5.278674003364e+00,        -2.896340919354e+00,        +7.071067811865e+00,        +5.278674003364e+00,        -2.896340919354e+00,        +8.797178755380e+00,        +2.223778659225e+00
 1.90000000e+01,        +7.071067811865e+00,        +8.843994154288e+00,        +2.252869385617e+00,        +5.215274694290e+00,        -2.948340608901e+00,        +7.071067811865e+00,        +5.215274694290e+00,        -2.948340608901e+00,        +8.858915416012e+00,        +2.257435858312e+00
 1.95000000e+01,        +7.071067811865e+00,        +8.905814276315e+00,        +2.285122151391e+00,        +5.151120723129e+00,        -2.998752792954e+00,        +7.071067811865e+00,        +5.151120723129e+00,        -2.998752792954e+00,        +8.921357610057e+00,        +2.289466302180e+00
 2.00000000e+01,        +7.071067811865e+00,        +8.968291874786e+00,        +2.315765422478e+00,        +5.086254200206e+00,        -3.047573414267e+00,        +7.071067811865e+00,        +5.086254200206e+00,        -3.047573414267e+00,        +8.984462264115e+00,        +2.319865601044e+00
 2.05000000e+01,        +7.071067811865e+00,        +9.031384889551e+00,        +2.344795858700e+00,        +5.020716848456e+00,        -3.094799321403e+00,        +7.071067811865e+00,        +5.020716848456e+00,        -3.094799321403e+00,        +9.048186715657e+00,        +2.348630247971e+00
 2.10000000e+01,        +7.071067811865e+00,        +9.095051662853e+00,        +2.372210979189e+00,        +4.954550008594e+00,        -3.140428258573e+00,        +7.071067811865e+00,        +4.954550008594e+00,        -3.140428258573e+00,        +9.112488703801e+00,        +2.375757611193e+00
 2.15000000e+01,        +7.071067811865e+00,        +9.159250933508e+00,        +2.398009156137e+00,        +4.887794641148e+00,        -3.184458857058e+00,        +7.071067811865e+00,        +4.887794641148e+00,        -3.184458857058e+00,        +9.177326363797e+00,        +2.401245927757e+00
 2.20000000e+01,        +7.071067811865e+00,        +9.223941834458e+00,        +2.422189609310e+00,        +4.820491325568e+00,        -3.226890627632e+00,        +7.071067811865e+00,        +4.820491325568e+00,        -3.226890627632e+00,        +9.242658224909e+00,        +2.425094297921e+00
 2.25000000e+01,        +7.071067811865e+00,        +9.289083893362e+00,        +2.444752400839e+00,        +4.752680256692e+00,        -3.267723953487e+00,        +7.071067811865e+00,        +4.752680256692e+00,        -3.267723953487e+00,        +9.308443211345e+00,        +2.447302679857e+00
 2.30000000e+01,        +7.071067811865e+00,        +9.354637035891e+00,        +2.465698429936e+00,        +4.684401238836e+00,        -3.306960083273e+00,        +7.071067811865e+00,        +4.684401238836e+00,        -3.306960083273e+00,        +9.374640645905e+00,        +2.467871884264e+00
 2.35000000e+01,        +7.071067811865e+00,        +9.420561591373e+00,        +2.485029427231e+00,        +4.615693677828e+00,        -3.344601123923e+00,        +7.071067811865e+00,        +4.615693677828e+00,        -3.344601123923e+00,        +9.441210255987e+00,        +2.486803568605e+00
 2.40000000e+01,        +7.071067811865e+00,        +9.486818300461e+00,        +2.502747948484e+00,        +4.546596571240e+00,        -3.380650033006e+00,        +7.071067811865e+00,        +4.546596571240e+00,        -3.380650033006e+00,        +9.508112181638e+00,        +2.504100230709e+00
 2.45000000e+01,        +7.071067811865e+00,        +9.553368324521e+00,        +2.518857367513e+00,        +4.477148497138e+00,        -3.415110610415e+00,        +7.071067811865e+00,        +4.477148497138e+00,        -3.415110610415e+00,        +9.575306985319e+00,        +2.519765201570e+00
 2.50000000e+01,        +7.071067811865e+00,        +9.620173256415e+00,        +2.533361868190e+00,        +4.407387601582e+00,        -3.447987489249e+00,        +7.071067811865e+00,        +4.407387601582e+00,        -3.447987489249e+00,        +9.642755663081e+00,        +2.533802637211e+00
 2.55000000e+01,        +7.071067811865e+00,        +9.687195132426e+00,        +2.546266435430e+00,        +4.337351585171e+00,        -3.479286125779e+00,        +7.071067811865e+00,        +4.337351585171e+00,        -3.479286125779e+00,        +9.710419656879e+00,        +2.546217509519e+00
 2.60000000e+01,        +7.071067811865e+00,        +9.754396445056e+00,        +2.557576845118e+00,        +4.267077688830e+00,        -3.509012788438e+00,        +7.071067811865e+00,        +4.267077688830e+00,        -3.509012788438e+00,        +9.778260867759e+00,        +2.557015595995e+00
 2.65000000e+01,        +7.071067811865e+00,        +9.821740156453e+00,        +2.567299652938e+00,        +4.196602679088e+00,        -3.537174545801e+00,        +7.071067811865e+00,        +4.196602679088e+00,        -3.537174545801e+00,        +9.846241669683e+00,        +2.566203468405e+00
 2.70000000e+01,        +7.071067811865e+00,        +9.889189712278e+00,        +2.575442182122e+00,        +4.125962833030e+00,        -3.563779253545e+00,        +7.071067811865e+00,        +4.125962833030e+00,        -3.563779253545e+00,        +9.914324923768e+00,        +2.573788480317e+00
 2.75000000e+01,        +7.071067811865e+00,        +9.956709055790e+00,        +2.582012510131e+00,        +4.055193923107e+00,        -3.588835540399e+00,        +7.071067811865e+00,        +4.055193923107e+00,        -3.588835540400e+00,        +9.982473992760e+00,        +2.579778753558e+00
 2.80000000e+01,        +7.071067811865e+00,        +1.002426264201e+01,        +2.587019454291e+00,        +3.984331201958e+00,        -3.612352793120e+00,        +7.071067811865e+00,        +3.984331201958e+00,        -3.612352793120e+00,        +1.005065275555e+01,        +2.584183163617e+00
 2.85000000e+01,        +7.071067811865e+00,        +1.009181545176e+01,        +2.590472556456e+00,        +3.913409387404e+00,        -3.634341140520e+00,        +7.071067811865e+00,        +3.913409387404e+00,        -3.634341140520e+00,        +1.011882562162e+01,        +2.587011324050e+00
 2.90000000e+01,        +7.071067811865e+00,        +1.015933300556e+01,        +2.592382066733e+00,        +3.842462647709e+00,        -3.654811436617e+00,        +7.071067811865e+00,        +3.842462647709e+00,        -3.654811436617e+00,        +1.018695754519e+01,        +2.588273569929e+00
